sentence_id,idea_id,central,size
10224,5345,Reference to a specific jurisdiction's privacy law (such as California) signals that the stated 'opt out' right concerns the sale of personal information under that regulatory framework.,2
10224,558,"Any sentence that points users to a designated channel for exercising an opt-out right is classified as a description of that right, even when it also bundles related requests like access or deletion.",1
10224,902,"A sentence framed as an instruction for exercising a privacy right over personal data is categorized by the specific right it names, so an explicit 'opt out' instruction maps to the opt-out-of-sale descriptor.",2
10224,937,"When a sentence contains the phrase 'opt out' in connection with ceasing the 'sale' of personal information and explains the consequence (no longer selling and instead suppressing data), it directly characterizes the right to opt out of a sale.",14
10310,2027,A sentence that names a specific privacy regulation and describes a consumer's entitlement to request access to their personal information falls under the category of a right-to-know description.,2
10310,4357,Indicating that the consumer must verify their identity or ownership before the request is fulfilled signals that the sentence is explaining the procedural aspect of a disclosed right.,1
10310,6791,"The presence of language about requesting access to personal information, rather than deletion or correction, aligns with the 'Right to Know' subtype of access-related disclosures.",1
10327,1252,"A sentence that connects a specific collection mechanism (e.g., data received from third parties) to the label of personal information serves to declare that such data is one of the categories of personal information being gathered.",1
10327,3198,"A statement that explicitly draws a boundary around which data counts as personal information, using phrases like 'may constitute Personal Information,' is a direct categorization of the data types under discussion.",3
10327,555,Any sentence that links a specific source of collected data to its potential classification as personal information—even with geographic or jurisdictional qualifiers—fits a label devoted to describing the types of personal information gathered.,2
10327,7699,"When a sentence explicitly enumerates the different channels through which a data collector obtains personal information, it functions as a statement of the types of personal information that fall within its collection scope.",2
1033,290,"A disclosure addressing the authority or business arrangement behind processing personal information helps users understand the purposes and legal foundations of collection, which is integral to describing a right to know collected personal information.",5
1033,2936,"A sentence using explicit negation about collection practices addresses the same disclosure topic as positive descriptions of collection, warranting the same classification.",1
1033,3492,Content characterizing collection practices—whether by describing what data is amassed or by stating that certain data is not amassed—belongs within a section devoted to the categories of personal information collected.,1
1033,5946,Statements that describe restrictions or prohibitions on third-party collection still fall under the heading of collected-information categories because they define the boundaries of what information is gathered and by whom.,1
10355,1127,A sentence that articulates what an individual is entitled to learn about (the sale or sharing of their data) without prescribing how to exercise that right is a characteristic description of a knowledge-based privacy right.,1
10355,271,A sentence that explicitly names a consumer right using the phrase 'right to know' and ties it to personal information being sold or shared is typically labeled as a description of that specific right.,3
10355,6947,"The presence of the target audience ('to whom') and the data category ('personal information') indicates that the sentence is defining the scope of a transparency right, which aligns with a 'Description of Right to Know' label.",1
10355,7854,"When a sentence enumerates the details of a disclosure right, such as the type of data involved and the recipients, it functions as a descriptive statement of the right rather than a procedural or enforcement rule.",2
10357,118,"When a sentence begins with a heading that names a right and then continues with a declarative statement beginning with 'You have a right...', it is functioning as a direct description of that right.",2
10357,2587,"A sentence that outlines the existence and scope of a right, rather than providing procedural details, is categorized under the description of that right.",2
10357,426,A sentence that explicitly states a user can request to limit or restrict the use or disclosure of their personal information is classified as a description of a right to limit use.,9
10357,6298,The inclusion of a qualifier like 'sensitive' narrows the scope of the right but does not change its fundamental nature as a description of a right to limit use.,1
10357,956,A sentence is labeled as describing a 'Right to Limit' when it explicitly names a legal right and states that the user can restrict how their information is used or disclosed.,4
10402,1777,"A sentence that explicates how a specific web-tracking technology stores data serves to define the scope and nature of information that may be collected, thereby informing the categories of personal information potentially shared or disclosed.",1
10402,2283,A sentence that identifies a technology's data-handling characteristics supports the classification of that technology's data as a category within the privacy notice's disclosure of personal information.,1
10402,3616,"Describing the amount, type, and storage method of data held by a technology indicates that such data is treated as personal information subject to being shared with third parties.",1
10402,3828,"Distinguishing between different cookie types (e.g., Flash vs. browser) clarifies that each represents a distinct data-collection mechanism, each of which may constitute a separate category of personal information in disclosure statements.",1
1043,1839,"A sentence that explicitly directs individuals to a privacy policy or external resource for understanding data practices typically functions to clarify how personal information is collected and processed, thereby enabling users to make informed decisions about restricting that processing.",1
1043,2190,"A sentence that frames information as being for the purpose of consumer understanding—rather than for operational or marketing purposes—aligns with the disclosure aspects of privacy rights, including the right to limit the use of personally identifiable information.",1
1043,5257,"Providing a location (such as a link or policy name) where consumers can review the full extent of data products is a common method to fulfill transparency obligations, and transparency is a foundational component of any right to limit the use of personal information.",1
1043,8048,"When a sentence indicates where to find details about the breadth of data products, it implicitly acknowledges that the consumer has control over or can limit how their data is used, because such disclosure is typically required before users can exercise opt-out or restriction rights.",1
10474,1318,A sentence that describes a concrete action or tool a user can employ to control or limit data collection is classified as a method for exercising rights.,5
10474,4598,Language describing opt-out mechanisms for advertising constitutes a prescribed channel for exercising user rights.,1
10474,5570,Sentences that reference where to change device settings for privacy controls are considered instructions for exercising data protection rights.,2
10476,2276,"A sentence that identifies a specific, concrete avenue for a user to stop a particular type of data use falls under 'methods to exercise rights' when it parallels other enumerated submission channels (e.g., email, phone, website forms) in the same document.",1
10476,2676,A sentence that provides actionable instructions or links for users to disable data collection or targeted advertising is classified as a method for exercising privacy rights because such actions directly implement choices to limit personal data processing.,1
10476,4484,"Instructions for configuring device-level privacy settings, such as ad personalization or location-based targeting controls, constitute methods to exercise rights when they describe how a user can independently restrict a company's use of their personal information.",1
10476,5324,References to external vendor or platform guidance (like Apple's official documentation) that tell users where to find and use privacy controls are considered methods to exercise rights because they operationalize the user's ability to act on their preferences.,1
10519,1868,A sentence that explicitly states that certain categories of personal information have been disclosed for business purposes directly matches a label denoting categories of personal information shared or disclosed.,5
10519,362,A heading or introductory clause that introduces a list of data categories subject to a particular business practice should receive the same label as the substantive enumeration that follows it.,1
10519,6870,The presence of regulatory or statutory phrasing—such as 'Categories of Personal Information' combined with a legally defined activity—indicates the sentence is part of the disclosure section dedicated to that activity.,1
10519,7746,"When a sentence contains the defining term that matches the label's core concept (e.g., 'Sold'), it signals that the passage addresses that specific consumer-privacy topic, regardless of whether it is a heading or body text.",1
1052,1165,A sentence that explains the specific business purposes for which personal information is gathered falls under the scope of informing consumers about their right to know what data is collected.,2
1052,5582,"Sentences that enumerate internal uses such as research, operations, auditing, or compliance serve to satisfy transparency obligations about data collection under privacy laws.",1
1052,619,A phrasing that ties collection to the organization's own lawful or operational activities directly addresses the type of information a consumer may request to be informed about.,1
1052,6317,"The inclusion of both collection categories and business purposes indicates the text details the scope and rationale of data processing, which is a hallmark of a 'Right to Know' disclosure.",2
10520,1802,A sentence that explicitly announces the transfer or sale of personal data and signals that a categorized enumeration will follow should be labeled according to the dominant disclosure act of identifying the sold data categories.,1
10520,532,"An utterance using a declarative frame such as 'we have sold the following categories' functions as an advance organizer for a list, making the sentence itself a category-introducing statement rather than a mere list item.",1
10520,7546,"When a privacy notice sentence states both the fact of sale and a lookahead to the enumerated types of information, the labeling reflects the top-level purpose of disclosing which categories were sold.",1
10522,1429,"A sentence that directly addresses whether the company sells personal data—and clarifies the meaning of 'sell' under different definitions—belongs under a heading about the categories of personal information sold, because that heading records the company's sale-related practices.",2
10522,1606,"A sentence that explicitly enumerates the types of personal data gathered in an open-ended list is classified under the category of personal information collected, as it directly names the data types involved.",3
10522,2452,A sentence that lists subcategories within a broader enumerated category in a disclosure section inherits the label of that overarching section.,1
10522,4370,"Information about products or services purchased, considered, or clicked, as well as consumption histories, is commonly recognized as commercial information under data privacy regulations.",1
10581,2530,A sentence that names a standard consumer-privacy category and is immediately followed by illustrative examples of that category is an instance of a category listing.,1
10581,344,A fragment structured as a heading followed by examples and an affirmative collection marker forms a structured record in a disclosure table rather than narrative prose.,1
10581,4041,"If a sentence appears after a statement that categories of personal information collected from consumers are being listed, it functions as one item in that category list.",1
10581,6688,The presence of a 'YES' collected indicator and a sequential letter label signals that the sentence is one subdivision within an enumerated set of information categories.,1
10581,8120,"When a sentence lists subcategories of data such as browsers interact with online services, it belongs to a scheme enumerating personal information types collected by a business.",1
10595,2494,A sentence that names a named category and provides a statutory definition or list of sub-items is typically labeled by the top-level category type it represents.,1
10595,2943,A sentence whose content enumerates the specific types of data falling under a defined privacy-law classification belongs to the broader conceptual framing of that classification list.,1
10595,4160,"If the surrounding entries all carry the same label referring to the overarching classification scheme, then an entry sharing the identical structural format and content type follows that same labeling convention.",1
10595,7356,"When a document is structured as an enumerated list of categories where each entry begins with a bolded category name followed by examples and a collection indicator, that entry is assigned the label matching the table's organizing classification.",1
10621,2617,"A sentence that pairs a section heading naming a data practice with a declarative response about that practice is interpreted as belonging to the corresponding policy category, regardless of whether the practice is affirmed or negated.",1
10621,475,"A negation of a specific data activity is as directly pertinent to that activity's disclosure label as an affirmative enumeration, since it communicates that no such activity occurred.",1
10621,6275,"The inclusion of a defined reporting period, such as the preceding twelve months, signals a formal disclosure statement and thereby aligns the sentence with the label that mandates such periodic disclosures.",1
10621,959,"A sentence that explicitly denies selling or sharing personal data for monetary or other valuable consideration directly addresses the question of which categories of personal information are sold, so it is labeled as information about categories sold even when the denial presents an absence for a specific context.",4
10624,4735,"Language that distinguishes between sales and business-purpose disclosures, and requires separate lists for each, articulates the scope of data the consumer may request.",1
10624,695,"A sentence that frames a consumer's entitlement to request disclosure of enumerated data-handling practices, such as categories collected, sources, purposes, and sharing, constitutes a description of a right-to-know provision.",6
10624,7786,"When a sentence details the form and content of the response to a data access request, it is functioning as a description of the right to know, not as a standalone policy or notice.",1
10627,260,"Text that lists lawful justifications for retaining personal data—such as legal obligations, research, or compatible internal uses—functions to define when the right to delete does not apply, thereby describing that right.",3
10627,580,"Sentences that provide reasons for refusing a deletion request are part of the description of the right to delete, as they outline the limitations on that right.",10
10627,848,A sentence that enumerates specific statutory exceptions or conditions under which a deletion request may be refused is describing the scope and limitations of the right to delete.,17
10627,8608,"When privacy-related text explicitly references legal obligations and permissible internal uses as grounds for retaining information, it is articulating the boundaries of a deletion right rather than introducing a separate topic.",1
10631,1256,A sentence that explicitly promises not to discriminate against consumers for exercising their privacy rights directly states and thereby describes the right to non-discrimination.,21
10631,2214,A sentence that frames the prohibition as a general commitment before listing specific prohibited actions serves as a high-level description of the non-discrimination right.,1
10631,4804,Language that ties the non-discrimination assurance to the consumer's exercise of rights under the law marks the sentence as an articulation of that statutory entitlement.,1
10631,5366,Referencing a particular privacy law and the act of exercising rights under that law indicates the sentence is providing a description of the corresponding legal guarantee.,1
10631,6280,The presence of a heading such as 'Non-Discrimination' preceding a statement signals that the text describes that specific right.,3
10705,1549,"A sentence that enumerates specific prohibited acts of differential treatment (denying services, varying prices, or altering quality) characteristically serves as a description of a non-discrimination right.",11
10705,478,"An enumeration of concrete discriminatory practices (pricing differences, service denial, quality variation) operates as a detailed specification of the general non-discrimination guarantee.",1
10705,7926,"When a sentence explicitly frames those prohibitions as consequences of a consumer exercising their legal rights, it functions to explain the right to freedom from discrimination.",1
10722,1132,"A sentence that assigns to the user the responsibility for updating and maintaining the accuracy of their personal data can properly be characterized as describing the right to correct that information, because it implies the user has control and the ability to make corrections.",1
10722,231,A description of a right to correct information is not limited to explicit 'you may request' language; it can also be expressed through obligations that presuppose the user's authority to update the data.,1
10722,6653,The presence of a separate provision telling users how to request changes to inaccurate data indicates that a nearby statement about user responsibility for accuracy is part of the same corrective framework.,1
10722,7473,"When a policy frames data accuracy as an ongoing user duty rather than an explicit grant, it still conveys that the user is entitled to keep the data accurate, thereby expressing a right to correct.",1
10750,14,Account-centric processing statements signal that the associated personal identifiers and account attributes belong to the set of personal information categories obtained from the consumer.,1
10750,2894,"A sentence that ties data processing to a specific account lifecycle function (such as creating, maintaining, or securing an account) indicates which personal information categories are operationally collected to enable that function.",1
10750,3673,"Descriptions of business purposes for using consumer data presuppose that the referenced personal information is gathered, so such purpose statements function as evidence of the categories of personal information collected.",1
10750,7503,"When a privacy disclosure links particular account operations to the handling of personal information, the scope of those operations reveals the range of personal information categories the organization collects and manages.",1
10762,1200,A sentence that introduces conditions or exceptions to a stated consumer right serves as a description of that right because it delineates the boundaries of when the right applies.,2
10762,5975,"Statements that follow an established right with qualifying circumstances (such as retention being necessary for specific purposes) present the right's operational meaning, making them categorizations of the right rather than separate policy or enforcement language.",1
10762,70,"A clause that enumerates purposes for refusing an action after the right has been asserted clarifies the legal and practical exceptions inherent to that right, which is characteristic of a descriptive statement about the right.",1
10762,734,"Wording that references the possibility of denying a request (e.g., 'may deny if necessary') directly explains the scope of the underlying right, thereby describing it in terms of its limitations.",2
10763,197,A disclosure of a consumer privacy right typically includes both the affirmative right and any legal exceptions or conditions that narrow its application.,3
10763,4833,"Listing legitimate business and contractual purposes for which data may be retained is a standard method of conveying the limitations on a deletion right, which falls squarely within describing that right.",1
10763,848,A sentence that enumerates specific statutory exceptions or conditions under which a deletion request may be refused is describing the scope and limitations of the right to delete.,17
10768,1024,A sentence referencing a specific statute governing data privacy contributes to describing a deletion right by indicating the legal constraints under which that right is exercised and may be refused.,3
10768,347,A fragment that is syntactically dependent on preceding language about complying with a privacy law is labeled as describing the deletion right because it supplies the precise legislative basis for a retention exception.,1
10768,452,A legal citation that completes an exception to a deletion right constitutes part of the description of that right because exceptions define the right's scope and limitations.,1
10768,7415,"When an excerpt enumerates lawful reasons to deny a deletion request, each cited statutory provision functions as an integral element of the overall description of the deletion right.",1
1078,3119,"A statement that either identifies categories that are sold or affirmatively denies selling identifiable information still constitutes a declaration about the sale of personal information, thereby matching a label about sold categories.",2
1078,4433,"In privacy policy analysis, sentences that clarify the company's selling practices are relevant to the sold-categories category even when they indicate no sale occurs.",1
1078,4546,"Labels categorize the topic of a sentence, so a denial of selling is still a statement about the handling of personal information for sale purposes.",1
10780,1593,"A sentence that enumerates specific prohibited actions (such as denying goods, charging different prices, or offering different quality) serves to concretely define the scope of a non-discrimination right.",12
10780,1820,"A sentence that explicitly declares a policy of not discriminating against consumers for exercising their legally granted rights serves to describe the right to non-discrimination, as it directly states the protective guarantee.",3
10780,4963,"Mentioning specific legal statutes (e.g., CCPA/CPRA) alongside the non-discrimination guarantee confirms the sentence addresses a legally defined consumer protection right.",2
10782,1564,"A sentence that enumerates specific commercial practices as prohibited in the context of a non-discrimination guarantee functions to define the scope of that guarantee, establishing it as a description of the right.",1
10782,4108,"If a sentence serves to spell out what a company will not do to customers exercising their legal rights, it is characterizing the substance of the non-discrimination right rather than creating a new obligation.",1
10782,520,"An itemized list of practices, such as varying prices or rates, in a section promising non-discrimination, constitutes a descriptive account of the right's application to pricing and related terms.",1
10782,7476,"When a policy listing forbidden actions includes phrases like 'including through granting discounts or other benefits, or imposing penalties,' it clarifies that the right covers both obvious and subtle forms of differential treatment, thereby detailing the right's protections.",1
10785,2290,A sentence that identifies exceptions to a general prohibition is part of describing the underlying right because it defines the right's boundaries.,2
10785,3897,Explaining that certain legally sanctioned incentives may yield different outcomes helps a reader understand that the right does not preclude all forms of differentiated treatment.,1
10785,5755,Statements that note permissible differential treatment under a specified legal framework clarify the scope of a non-discrimination guarantee.,2
10785,8576,"When a text first states a rule and then introduces a caveat with a contrastive connector, the caveat serves to refine the description of that rule.",1
10824,1735,A sentence that explains the limitations of data collection tools by stating that only data voluntarily provided by the user is captured serves to define the categories of personal information actually collected.,1
10824,3421,"Clarifying that a tracking mechanism does not access the device or unrelated data distinguishes between information that is collected (user-shared) and information that is not, thereby delineating the scope of collected personal information.",1
10824,5733,"Sentences that reassure users about the non-collection of certain data, such as access to their computer, help clarify which categories of personal information are excluded from the overall collection framework.",1
10824,7515,"When a privacy disclosure specifies that the only personal information gathered is what the user chooses to share, it directly informs the reader about the types of personal information that fall within the collection policy.",1
10827,1932,"A sentence that explicitly introduces an inventory of personal information categories and uses legal disclosure language (e.g., 'collected within the last twelve months') signals a section devoted to listing collected data types.",1
10827,652,"In privacy policy contexts, a statement that announces the categories of personal information gathered serves as an organizing header for a disclosure of collected data, warranting the label of the information's categories.",2
10827,6700,"When a sentence enumerates specific data types about user actions (e.g., page views or search queries), it is identifying categories of information that are collected, regardless of whether the text labels them as personal or non-personal.",2
10850,2480,A sentence that names a category of personal information and provides illustrative examples of that category is classified under the label for that category type.,1
10850,5743,"When a document enumerates categories of personal information in a structured list, each entry that defines a category with examples belongs to the corresponding category label.",3
10850,6489,The presence of a category name followed by examples and a collection indicator indicates the sentence functions as a definitional entry within a taxonomy of personal information types.,1
10850,794,"A sentence describing a type of personal data with specific instances is labeled as a category of personal information, independent of whether that data is actually collected.",2
10875,263,"A description of the right to know typically frames the entitlement from the consumer's perspective using phrases like 'right to know about', indicating the user can request such information.",2
10875,278,"A description that specifies granular requirements, such as the need to identify both the categories of personal information and the categories of recipients, indicates it is explaining the scope and detail of a right.",1
10875,3675,"Descriptions of consumer data rights often begin by stating the specific condition or trigger under which the right becomes exercisable, such as when the business has sold or disclosed information for a business purpose.",1
10875,6987,"These descriptions typically enumerate the particular categories of information the consumer is entitled to receive, including separate items for sales and for disclosures made for business purposes.",1
10877,1554,"A sentence that enumerates specific business, legal, or security justifications for withholding the requested action helps characterize the right by clarifying when it does not apply.",1
10877,2112,"A sentence that states the eventual deletion of personal information from records, subject to exceptions, directly outlines the scope and conditions of the deletion right, making it a description of that right.",7
10877,248,"A description of a statutory privacy right often includes the legal grounds that permit retaining data, which communicates to the consumer both the existence of the right and its limitations.",1
10877,945,A sentence that outlines the procedural steps taken to fulfill a consumer's request is a description of the corresponding right.,2
10878,1186,"A sentence that cites specific legal provisions (e.g., codes and statutes) alongside permissible uses of retained data serves to clarify the scope of a deletion right by listing what the data controller may still lawfully do.",1
10878,2163,"A sentence that follows an explicit statement of a consumer's deletion right and uses transitional language like 'unless an exception applies' is interpreted as an explanatory component of that right, since it spells out the carve-outs that qualify the general entitlement.",1
10878,2440,"A sentence that lists internal, research, compliance, and other lawful processing activities as grounds for refusing deletion directly defines when the right to delete is not absolute, thereby describing the right in its full regulatory context.",1
10878,3534,"Content that lists legal, research, and internal-use justifications for retaining personal information after a deletion request serves to characterize the deletion right as conditional rather than absolute, which is an essential descriptive element of that right.",1
10878,7453,"When a passage uses formal legal language and references to statutes, it signals that the passage forms part of an official description of a legal right, including its exceptions, and thus warrants categorization as describing that right.",1
10878,848,A sentence that enumerates specific statutory exceptions or conditions under which a deletion request may be refused is describing the scope and limitations of the right to delete.,17
10881,2388,"A sentence that outlines the procedural steps a consumer must follow to invoke a privacy right, such as verifying their request and awaiting disclosure of categories of data, is describing a method to exercise that right.",3
10881,3495,"Content detailing how to formally submit a request—including verification criteria, submission channels, and response expectations—constitutes instructions for exercising the associated rights.",1
10881,6170,Text that outlines the practical mechanics of making a valid request to a company regarding personal data falls under the category of methods to exercise rights.,1
10881,7434,"When a passage explains the operational process a consumer follows to act on their entitlements, such as identity verification and response timing, it is labeled as methods to exercise rights.",1
10892,1061,A sentence that acknowledges lawful exceptions (such as permitted incentives) while restating the core prohibition serves to fully delineate the scope of the non-discrimination right rather than to assert a separate right.,1
10892,1243,"A sentence that conditions prohibitions on legal permissibility (e.g., 'unless permitted by X') clarifies that the described right operates within a broader statutory frame, which is characteristic of right-description language.",2
10892,1853,"Enumerating the concrete forms of adverse treatment prohibited—such as denial of goods or services, price differences, or reduced quality—indicates a substantive description of the non-discrimination protection.",5
10892,2418,A sentence that links exercising a specified set of rights to protection from retaliation or punitive treatment is a core component of describing a non-discrimination right.,1
10898,5214,"Privacy policies commonly describe cookie usage because cookies are a technical mechanism for collecting personal information, so such statements pertain to the categories of personal information collected.",3
10898,5861,Statements asserting that data collection occurs anonymously and is limited to functional needs align with the transparency obligations that motivate privacy policy revisions.,1
10898,7184,"Updates to privacy policies commonly involve clarifying or restating how tracking and storage mechanisms like cookies collect data, particularly emphasizing anonymity to assure users of data handling practices.",1
10898,831,A sentence detailing the specific technical roles of cookies in supporting a website's basic operations is typical content found within a revised or newly issued privacy policy section.,1
1090,1925,"A sentence that explicitly instructs consumers on how to contact a company via specified channels (e.g., email and phone) to request an action such as opting out is detailing the methods available for exercising privacy rights.",1
1090,5470,"Sentences offering alternative ways to perform a data-protection action (e.g., 'can also email or call') are still categorized as explaining how to exercise those rights, since they specify the available channels.",1
1090,6519,The presence of actionable contact details (an email address and a toll-free number) directed at consumers indicates the sentence belongs to a category of guidance on exercising rights.,1
1090,7513,"When a privacy disclosure provides concrete communication pathways—like a dedicated email address or toll-free number—for submitting an opt-out request, that sentence serves as a practical method for rights enforcement.",1
10900,3004,Assigning a label requires the sentence's described behavior to correspond to at least one specific exemplar listed within that category's definition.,1
10900,3049,A statement describing how visitors interact with a digital property points to collected information that matches an enumerated category containing interaction histories or behavioral records.,1
10900,471,Analytics-oriented descriptions that focus on understanding visitor actions support categorization under groups whose scope covers website usage patterns and consumer conduct.,1
10900,5637,Sentences that identify a data-collection mechanism should be classified under the heading that enumerates the type of consumer activity that mechanism observes.,1
10900,7918,"When a sentence explains the purpose of a tracking technology in terms of monitoring user engagement or navigation, it indicates that the resulting data aligns with a category that lists browsing or interaction-based personal information.",1
1091,1636,A sentence that instructs consumers on specific procedures or channels for submitting privacy requests directly explains how to exercise their rights.,4
1091,541,"Any instruction that enables a user to take a concrete step toward accessing, correcting, or opting out of data use is classified as a method to exercise rights.",2
1091,5753,"Sentences that signal preparation or prerequisites (e.g., 'be prepared to provide') are treated as guidance for exercising data rights, not as substantive policy terms.",1
1091,8468,"When a statement explicitly references a consumer right (such as opting out) and outlines the procedural requirements for doing so, it is classified as a method to exercise rights.",1
