sentence_id,doc_key,sentence,label
450,DB_4,Disclosure of Sale of Personal Information: We have disclosed but not sold any personal information to third parties for a business or commercial purpose in the preceding 12 months.,Description of Right to Know PI sold / shared
502,DB_4,by visiting our opt-out page,Methods to exercise rights
511,DB_4,You may request to Know,Description of Right to Know PI Collected
599,DB_5,"Identifiers\nA real name, alias, postal address, unique personal identifier, online identifier, IP address, email address, account name, Social Security number, driver’s license number, passport number, or other similar identifiers.\nService Providers; and Authorized Third Parties\nB.",Categories of Personal Information Shared / Disclosed
609,DB_5,"You have the right to request that we disclose personal information we collected about you pursuant to Civil Code sections 1798.100, 1798.110, or 1798.115 including any or all of the following: Specific pieces of personal information that we collected about you;.",Description of Right to Know PI Collected
618,DB_5,"The categories of third parties with which we share your personal information;\n\nIn responding to your verified consumer request to know, we will provide information on: The categories of personal information that we sold in the preceding twelve (12) months, and for each category identified, the categories of third parties to which we sold that particular category of personal information; and\n\nIn responding to your verified consumer request to know, we will provide information on: The categories of personal information that we disclosed for a business purpose in the preceding twelve (12) months, and for each category identified, the categories of third parties to whom we disclosed that particular category of personal information.\n\nThe CCPA also requires that if requested, we provide you with responsive materials in a readily usable format that allows you to transmit your information from one (1) entity to another without hindrance.",Description of Right to Know PI sold / shared
626,DB_5,To find your TF ANON_ID Cookie Value (highlighted blue in example below): Open your web browser and go to “tribalfusion.com”;.,Methods to exercise rights
644,DB_5,Disclosure or Sale of Personal Information\nWe have not disclosed or sold any personal information to third parties for any business or commercial purpose in the preceding twelve (12) months.,Description of Right to Know PI sold / shared
645,DB_5,"We do not and will not disclose or sell your personal information without giving you notice and an opportunity to opt out of such disclosure or sale as required by law.\nWe do not offer financial incentives associated with our collection, use, or disclosure of your personal information.",Description of Right to Know PI sold / shared
650,DB_5,"Generally, California resident or household consumers have the following data privacy rights under the CCPA: Right to Know: You may request that a business tell you what specific personal information it collected,",Description of Right to Know PI Collected
675,DB_5,"Right to Opt-Out of the Sale of Your Information\nUnder the CCPA, you may opt-out of the sale of your personal information from a business to third parties.",Description of Right to Opt-out of sale of PI
681,DB_5,Right to Non-Discrimination: A business may not discriminate against consumers who exercise their rights under the CCPA.,Description of Right to Non-discrimination on exercising rights
684,DB_5,We help our Partners reach their target audiences and grow through ad sales.,Updated Privacy Policy
766,DB_5,Categories of sources from which your personal information is collected,Description of Right to Know PI Collected
771,DB_5,"In responding to your verified consumer request to know, we will provide information on: The categories of personal information that we disclosed for a business purpose in the preceding twelve (12) months, and for each category identified, the categories of third parties to whom we disclosed that particular category of personal information.",Description of Right to Know PI sold / shared
786,DB_5,Provide you a different level or quality of services; or,Description of Right to Non-discrimination on exercising rights
787,DB_5,Suggest that you may receive a different price or rate for services or a different level or quality of services.,Description of Right to Non-discrimination on exercising rights
797,DB_5,A “European Resident” is a resident of a country in the European Economic Area (“EEA”).,Description of Right to Know PI sold / shared
800,DB_5,We collect your personal information only with your consent or where the processing is in our legitimate interests and not overridden by your data protection interests or fundamental rights and freedoms.,Description of Right to Know PI sold / shared
803,DB_5,"If we collect and use your information in reliance on our legitimate interests (or those of any third party), our legitimate interests will generally involve operating and improving this Site, communicating with you, marketing purposes, or detecting or preventing fraud.",Description of Right to Know PI sold / shared
804,DB_5,"For more information about GDPR, please visit the EU’s “Data protection and online privacy” page .",Description of Right to Know PI sold / shared
809,DB_5,Right to Opt-Out: You may request that a business stop selling your personal information;.,Description of Right to Opt-out of sale of PI
853,DB_5,"Right to Delete: You may request that a business delete personal information that it collected from you, subject to some exceptions",Description of Right to Delete
854,DB_5,Right to Non-Discrimination: A business may not discriminate against consumers who exercise their rights under the CCPA,Description of Right to Non-discrimination on exercising rights
856,DB_5,"The categories of personal information we collected about you (e.g., IP address, geolocation data, internet activity such as web browsing histories, and professional or employment-related information) in the preceding twelve (12) months from the date we receive your request",Description of Right to Know PI Collected
857,DB_5,"The categories of sources from which your personal information was collected (e.g., cookies)",Description of Right to Know PI Collected
859,DB_5,The categories of personal information that we disclosed for a business purpose in the preceding twelve (12) months,Description of Right to Know PI sold / shared
870,DB_5,"The categories of personal information we collected about you (e.g., IP address, geolocation data, internet activity such as web browsing histories, and professional or employment-related information) in the preceding twelve (12) months from the date we receive your request;",Description of Right to Know PI Collected
872,DB_5,The CCPA considers the right to know and,Description of Right to Know PI Collected
873,DB_5,the right to delete,Description of Right to Delete
901,DB_6,Recognize you when you return to the Website.,Categories of Personal Information Collected
907,DB_6,Other information on deleting or controlling cookies is available at www.allaboutcookies.org.,Methods to exercise rights
925,DB_6,"You shall have the right to request that your information be provided to you in a portable and readily usable format, to the extent technically feasible (“data portability”).",Description of Right to Know PI Collected
931,DB_6,Contacting us at privacy@infopay.com; or,Methods to exercise rights
986,DB_6,"Identifiers: Name, email address",Categories of Personal Information Collected
1015,DB_7,Our clients may access and correct the information provided via this website.,Description of Right to Correct Information
1016,DB_7,"To obtain a copy of or to correct this information, please submit a request here.",Methods to exercise rights
1033,DB_7,The site does not allow third parties to collect personally identifiable information about you related to your online activities when you use this site.,Categories of Personal Information Collected
1043,DB_7,"To understand all of Acxiom’s data products, go to our US Products Privacy Policy here.",Description of Right to Limit use of PI
1052,DB_7,"Business Purposes for which Personal Information is Collected: We collect personal information for our own business purposes as described above, including internal research, internal operations, auditing, detecting security incidents, improving our services, quality control, and legal compliance.",Description of Right to Know PI Collected
1078,DB_7,Acxiom does not sell,Categories of Personal Information Sold
1090,DB_8,Consumers who wish to opt out can also email privacyteam@anchorcomputer.com or call our toll-free number 800-646-2563.,Methods to exercise rights
1091,DB_8,"If you wish to opt out, be prepared to provide the following information.",Methods to exercise rights
1160,DB_8,"However, even if you delete your account, we may keep your information to comply with laws and other business purposes.",Methods to exercise rights
1161,DB_8,"Even if you subscribe or opt-out, we may still send you communications related to your use of our services.",Methods to exercise rights
1203,DB_9,"As a California resident, you have the right to request that SMS disclose the categories of your personal information we have disclosed or sold to third parties for a business or commercial purpose in the preceding twelve (12) months.",Description of Right to Know PI sold / shared
1205,DB_9,"As a California resident, you have the right to opt-out of the sale of your personal information by SMS.",Description of Right to Opt-out of sale of PI
1206,DB_9,"As a California resident, you have the right to correct your personal information",Description of Right to Correct Information
1211,DB_9,Any future version of the Privacy Policy generally becomes effective at the time of posting.,Updated Privacy Policy
1249,DB_9,"Click here to submit a verifiable request to exercise this right.\n\nIn order for SMS to properly verify the Consumer’s identity prior to any disclosure of information, SMS will require, at a minimum, the Consumer’s full name, address, email address, and telephone number.\n\nAlternatively, you may email dataprivacyteam@sms-inc.com to initiate this request.\n\nIf SMS cannot verify the identity of the person making the request pursuant to the regulations set forth in Article 4 (Verification of Requests –https://oag.ca.gov/sites/all/files/agweb/pdfs/privacy/oal-sub-final-text-of-regs.pdf) SMS may request additional information for verification or deny your request.",Methods to exercise rights
1250,DB_9,"As a California resident, you have the right to correct your personal information.",Description of Right to Correct Information
1251,DB_9,"As a California resident, you can designate an authorized agent to make a request under the CCPA on the consumer’s behalf. “Authorized Agent” means a natural person or a business entity registered with the Secretary of State that a consumer has authorized to act on their behalf subject to the requirements set forth in section 999.326 (https://oag.ca.gov/sites/all/files/agweb/pdfs/privacy/oal-sub-final-text-of-regs.pdf).\n\nOther Privacy Choices and Opt-Out Solutions\n\nDMAchoice.org (https://dmachoice.thedma.org/) offers consumers a simple, step-by-step process that enables them to decide what mail they do and do not want.\n\nIn addition, DMAchoice, offers online and mail in registration for DMA’s:\n\neMail Preference Service (reduce your unsolicited commercial email)\nTelephone Preference Service (to reduce national commercial calls for consumers who live in Pennsylvania and Wyoming – consumers in other states are referred to the National Do Not Call Registry: www.donotcall.gov)\nDeceased Do Not Contact list (for name removal of deceased individuals’ names)\nDo Not Contact list for Caregivers (for caregivers to register name removal on behalf of those individuals for whom they care).\nDigital Advertising Alliance (https://youradchoices.com/) When you click on the YourAdChoices Icon, you get control over how information about your interests is used for relevant advertising.\n\nNetwork Advertising Alliance (http://optout.networkadvertising.org/?c=1) NAI offers an opt-out page where you can learn more about NAI members who deliver tailored online ads and your choices to opt-out of receiving them.",Methods to exercise rights
1329,DB_11,Access to Your Personal Information.,Description of Right to Know PI Collected
1330,DB_11,You may request access to your personal information or confirmation that we have information about you.,Description of Right to Know PI Collected
1335,DB_11,Corrections To Your Personal Information.,Description of Right to Correct Information
1337,DB_11,"Where your personal information is required to access or use Services, you may have the opportunity to correct, update, or modify this information by logging into your account and updating your information online.",Description of Right to Correct Information
1338,DB_11,You may ask us to correct information that is inaccurate or incomplete.,Description of Right to Correct Information
1347,DB_11,"For right to know, access",Description of Right to Know PI sold / shared
1470,DB_11,"To enable us to send you tailored information on our Services across our divisions that may interest you, to allow you to participate voluntarily in mailings and other events and to allow us to promote our events and Services.",Categories of Personal Information Collected
1492,DB_11,For information about the disclosure of the California enumerated categories please see the California jurisdictional section below.,Categories of Personal Information Shared / Disclosed
1547,DB_11,"""Find out more at """"How does S&P Global use personal information in products?""""""",Categories of Personal Information Collected
1588,DB_11,"Where we process your personal information based upon consent, you may revoke consent.",Methods to exercise rights
1656,DB_11,"We use this automatically collected information:\n\n- for our analytics purposes, including to enhance our understanding of usage of our Services;\n\n- to improve the quality and relevance to users of our Services, including (with consent as applicable) by showing or offering users relevant Services or content based on their preferences and usage habits; \n\n- to develop or accelerate research, analysis, news and related editorial content and information collection as part of our Services, or to enable others to develop/accelerate such content where permitted;\n\n- to offer you support with and training on our Services and to help resolve any errors or technical issues;\n\n- to develop and update our Services;\n\n- for customer services, such as evaluating our customers' training needs for our products;\n\n- to satisfy requests from S&P Global corporate customers regarding the entitlement to and use of our Services by individual users under their corporate accounts (this information may be offered to clients in an aggregated form and clients may be required by law to request certain information);\n\n- to deliver tailored information on our Services that may be of interest or value to you and to send you marketing and promotional emails with your consent if required by applicable law;\n\n- occasionally, to identify unauthorized use or unauthorized distribution of our Services related or unrelated to a security issue;\n\n- where relevant, to review or update pricing agreed with our customers; and\n\n- for billing purposes, so that we or others (such as our content providers) can bill for the services provided",Categories of Personal Information Collected
1663,DB_11,- Corrections To Your Personal Information.,Description of Right to Correct Information
1673,DB_12,"Computer, device and connection information, such as browser type and version, operating system, mobile platform and unique device identifier (“UDID”) and other technical identifiers",Categories of Personal Information Collected
1677,DB_12,The specific pieces of personal information it has collected about that consumer.,Description of Right to Know PI Collected
1703,DB_12,Do we disclose any information to outside parties?,Description of Right to Know PI sold / shared
1706,DB_12,"In California, commencing January 1, 2020, consumers have the right to request that a business that collects personal information about the consumer disclose the following:",Description of Right to Know PI Collected
1708,DB_12,"Privacy Policy\nWhat information do we collect?\n\nWe collect information from you when you submit a form on our site, call us, or place an order.\nWhen submitting a form on our site, calling us, or placing an order, as appropriate, you may be asked for your name, company name, email address, phone number and interest",Description of Right to Know PI Collected
1747,DB_13,"If you have questions about our privacy policies or practices or this Addendum, please contact us at privacy@safegraph.com.",Methods to exercise rights
1750,DB_13,"California Consumers have the right not to be subject to discriminatory treatment for exercising their privacy rights under the CCPA, including the right not to be retaliated against for the exercise of their CCPA rights.",Description of Right to Non-discrimination on exercising rights
1751,DB_13,Notice of Right to Limit Use and Disclosure of Sensitive Personal Information: California Consumers have the right to limit the use and disclosure of their sensitive personal information if used or disclosed for purposes not specified in the CCPA.,Description of Right to Limit use of PI
1753,DB_13,Please note that SafeGraph does not sell Information or engage in cross-contextual behavioral advertising.,Description of Right to Opt-out of sale of PI
1757,DB_13,"Please also note that we may retain Information for certain important purposes, such as (a) to protect our business, systems, and users from fraudulent activity, (b) to address technical issues that impair existing functionality (such as de-bugging purposes), (c) as necessary for us, or others, to exercise their free speech or other rights, (d) to comply with law enforcement requests pursuant to lawful process, (e) for scientific or historical research, (f) for our own internal purposes reasonably related to your relationship with us, or to comply with legal obligations.",Description of Right to Delete
1758,DB_13,"Additionally, we need certain types of information so that we can provide our Services to you.",Description of Right to Delete
1761,DB_13,categories of Information collected;,Description of Right to Know PI Collected
1772,DB_13,These examples are just a few of the exceptions allowed by the CCPA.,Description of Right to Delete
1777,DB_13,"For example, if we are not able to verify that information relates to you instead of someone else, if providing information to you could adversely affect the rights of someone else, or if information consists of trade secrets, we may not provide the affected information.",Description of Right to Know PI Collected
1778,DB_13,"If you do not have an email address or if you prefer not to provide it in connection with your “Access My PI” request, please call the toll-free telephone number listed above (under “Exercise Your CCPA Rights”) to submit your request.",Methods to exercise rights
1787,DB_13,Category of Third Parties to Whom Disclosed,Description of Right to Know PI sold / shared
1795,DB_13,"For example, if you request deletion, we may need to retain certain personal information to comply with our legal obligations or other permitted purposes.",Description of Right to Delete
1809,DB_13,To develop SafeGraph Services,Description of Right to Know PI Collected
1819,DB_13,Opt-out from sales: you can instruct us to stop certain transfers of your personal information,Description of Right to Opt-out of sale of PI
1820,DB_13,DELETE MY PI\nYou can ask us to delete your personal information we have collected from you.,Description of Right to Delete
1821,DB_13,"For example, we may keep your personal information if it is necessary for us to provide you with a requested service, to detect and protect against security issues, to comply with our legal obligations, or for other purposes that align with your expectations based on your relationship with us or that are consistent with the context in which you provided your personal information",Description of Right to Delete
1863,DB_13,"Right of Deletion\n\nYou have the right to request that we delete any of your personal information that we collected from you and retained by us, subject to certain conditions and exceptions under the law.",Description of Right to Delete
1864,DB_13,"For instance, we have the right to retain personal information needed to:\n\nComplete the transaction for which the personal information was collected, provide a good or service requested by the California resident, or reasonably anticipated within the context of our ongoing business relationship with the California resident, or otherwise perform a contract between our business and the California resident.\n\nHelp to ensure security and integrity to the extent the use of the consumer’s personal information is reasonably necessary and proportionate for those purposes.\n\nConduct solely internal uses that are reasonably aligned with the expectations of the California resident based on the California resident’s relationship with us.\n\nComply with a legal obligation.",Description of Right to Delete
1865,DB_13,"Right of Correction\n\nYou have the right to request that we correct any inaccurate or out-of-date personal information that we collected about you, subject to certain conditions exceptions.",Description of Right to Correct Information
1866,DB_13,We may have a legal right or obligation to preserve personal information as it currently exists.,Description of Right to Correct Information
1867,DB_13,"If we do not update certain personal information, we will give specific reasons for refusing to do so and provide a contact point for further inquiries.",Description of Right to Correct Information
1868,DB_13,Right to Restrict Usage of Sensitive Personal Information\n\nYou have the right to request that we restrict usage of what is defined as sensitive personal information under California law.,Description of Right to Limit use of PI
1870,DB_13,"Nonetheless, by policy, we never disclose usernames and passwords to third parties that are not our parent companies or affiliates and only use them for authenticating you when you try to access our website.",Description of Right to Limit use of PI
1934,DB_13,"Contact Us\nIf you have any questions, comments or concerns about this Supplement or about our privacy practices, seek to exercise any of your privacy rights under applicable law, or wish to access, change, or update personal information we have about you, you should first contact us by email at contact@swordfish.ai.",Methods to exercise rights
2063,DB_15,We may request that you provide documentation to support your request and we will correct your information unless we determine that the personal information is more than likely accurate.,Description of Right to Correct Information
2071,DB_15,We do not sell personal information for monetary value.,Categories of Personal Information Sold
2109,DB_15,"For any personal information that cannot be completely aggregated or deidentified, we take steps to modify the information before sharing to remove information such as name, account number, address, or unique vehicle identifiers.",Description of Right to Know PI sold / shared
2154,DB_15,"Complete a transaction or provide a good or service you requested, or take actions reasonably anticipated within the context of our ongoing business relationship with you, or otherwise perform our contract with you;",Description of Right to Delete
2160,DB_15,"Otherwise use your personal information, internally, in a lawful manner that is compatible with the context in which you provided the information.",Description of Right to Delete
2172,DB_15,Arity does not disclose precise geolocation data to third parties for advertising purposes,Description of Right to Know PI sold / shared
2256,DB_16,You also may contact us directly at privacy.compliance@deepsync.com.,Methods to exercise rights
2294,DB_16,You may have the right to request that the business limit the use and disclosure of your sensitive personal information.,Description of Right to Limit use of PI
2299,DB_16,"Additionally, we need certain types of information so that we can provide our Services to you.",Description of Right to Delete
2300,DB_16,"If you ask us to delete it, you may no longer be able to access or use our Services.",Description of Right to Delete
2308,DB_16,These cookies collect information about how you interact with our website and allow us to remember you.,Description of Right to Know PI Collected
2309,DB_16,We use this information to improve and customize your browsing experience and for analytics and metrics about our visitors on this website and other media,Description of Right to Know PI Collected
2336,DB_16,To Operate Our Services,Description of Right to Know PI Collected
2393,DB_16,"Our Collection of Personal Information – the types of Personal Information that we collect, the types of sources we collect it from,",Description of Right to Know PI Collected
2394,DB_16,Categories Disclosure and Sale of Personal Information of recipients to whom we disclose or sell Personal Information.,Description of Right to Know PI Collected
2402,DB_16,"The chart below describes how and with whom we share or disclose personal information, and whether we believe we have “sold” a particular category of information in the prior 12 months.",Description of Right to Know PI sold / shared
2436,DB_16,"Please also refer to Section 3 below, which further describes our business purposes for collecting and sharing personal information.",Description of Right to Know PI sold / shared
2463,DB_16,Right to Correct Inaccurate Information,Description of Right to Correct Information
2464,DB_16,Right to Limit Use of Disclosure of Sensitive Information,Description of Right to Limit use of PI
2466,DB_16,Right to request deletion of your personal information,Description of Right to Delete
2470,DB_16,How to exercise your access and (if applicable) deletion rights,Methods to exercise rights
2598,DB_17,Sold and shared To identify survey opportunities that you may be eligible for through the Third-Party MR Companies.\nAnalytics Partners All categories.,Categories of Personal Information Sold
2604,DB_17,Shared To create look alike modeling and target potential consumers in advertisement.\nAI/Data Modelers All categories.,Categories of Personal Information Sold
2614,DB_17,"The categories of Third Parties with whom we share your Personal Information.\nThe categories of Third Parties with whom we sold your Personal Information.\nThe specific pieces of Personal Information we collected about you (also called a data portability request).\nIf we disclosed your Personal Information for a business purpose, we will identify the Personal Information categories that each category of recipient obtained.",Description of Right to Know PI sold / shared
2616,DB_17,Please refer to the “How to Update Your Information” section to update your Personal Information.,Description of Right to Correct Information
2617,DB_17,"A California, Colorado, Connecticut, or Virginia consumer also has the right to request that we correct inaccurate Personal Information that we collected from you and maintain.",Description of Right to Correct Information
2632,DB_17,Edvisors reserves the right to update or amend this Privacy Policy at any time to reflect our current privacy practices.,Updated Privacy Policy
2662,DB_17,"Job information and status, job title.\nNon-public education information (per the Family Educational Rights and Privacy Act (20 U.S.C.",Categories of Personal Information Collected
2723,DB_17,Edvisors may provide points or other virtual rewards to users in exchange for interaction with an advertisement or completion of a specific activity in furtherance of the advertiser’s promotion subject to our Notice of Financial Incentive.,Categories of Personal Information Sold
2735,DB_17,"How to Update Your Information\nWe encourage you to visit your account, if applicable, to review and update your Personal Information.",Description of Right to Correct Information
2742,DB_17,"Note that even if you unsubscribe, you may still receive transactional e-mails from us (e.g., e-mails related to the completion of your registration, correction of user data, password reset requests, reminder e-mails that you have requested, and any other similar communications essential to your transactions on or made through the Services).",Methods to exercise rights
2756,DB_17,"Access Right (Right to Know)\n\nA California, Colorado, Connecticut, or Virginia consumer has the right to request that we disclose certain information to you about our collection and use of your Personal Information over the past 12 months, including:\n\nThe categories of Personal Information we collected about you.\nThe categories of sources from which we collected your Personal Information.\nOur business or commercial purpose for collecting your Personal Information.\nThe categories of Third Parties with whom we share your Personal Information.\nThe categories of Third Parties with whom we sold your Personal Information.\nThe specific pieces of Personal Information we collected about you (also called a data portability request).\nIf we disclosed your Personal Information for a business purpose, we will identify the Personal Information categories that each category of recipient obtained.\nWe will provide this information free of charge once per twelve-month period to a Connecticut consumer and twice per twelve-month period to a California, Colorado, or Virginia consumer.",Description of Right to Know PI Collected
2758,DB_17,We will not provide specific pieces of Personal Information unless you expressly request them.,Description of Right to Know PI Collected
2759,DB_17,"Deletion Right\n\nA California, Colorado, Connecticut, or Virginia consumer has the right to request that we delete any of your Personal Information that we collected from you and maintained, subject to certain exceptions.",Description of Right to Delete
2763,DB_17,"While submitting your request to correct inaccurate Personal Information, we will provide instructions for you to provide us with optional documentation to support your request and we will consider it.",Description of Right to Correct Information
2764,DB_17,We may decline to correct your allegedly inaccurate Personal Information if a legal exemption applies.,Description of Right to Correct Information
2765,DB_17,We may also decide to delete your Personal Information rather than correcting it.,Description of Right to Correct Information
2795,DB_17,Most of your concerns can be resolved quickly by contacting Edvisors at info@edvisors.com.,Methods to exercise rights
2800,DB_17,"However, choosing to decline cookies may hinder performance and negatively impact your experience on Edvisors’ Site.",Description of Right to Limit use of PI
2806,DB_17,"By using our Site, you consent to the processing of data about you by a Third-Party click tracking analytics provider in the manner and for the purposes set out above.",Categories of Personal Information Shared / Disclosed
2828,DB_17,"For information about how to opt-out of our processing of Sensitive Personal Information for non-exempt purposes, please see the Consumer Privacy Rights section below.",Description of Right to Limit use of PI
2843,DB_17,Personal Information Sales and Sharing,Categories of Personal Information Sold
2882,DB_17,The categories of Third Parties with whom we sold your Personal Information.,Description of Right to Know PI sold / shared
2884,DB_17,"If we disclosed your Personal Information for a business purpose, we will identify the Personal Information categories that each category of recipient obtained.",Description of Right to Know PI Collected
2896,DB_17,We may also choose to treat your withdrawal request as a request that we do not sell your Personal Information.,Description of Right to Limit use of PI
2897,DB_17,Changing Our Privacy Policy,Updated Privacy Policy
2955,DB_18,"If you do not agree to this Privacy Policy, you must not visit the LimeLeads website and delete all cookies from your web browser’s cache.",Description of Right to Know PI Collected
2957,DB_18,All users have the choice to opt out of receiving these emails.,Description of Right to Know PI Collected
2963,DB_18,LimeLeads may aggregate collected information about visitors and users in a way that prevents users from being personally identified to understand our customers and make changes to our services and customers and strategic partners.,Description of Right to Know PI Collected
2992,DB_18,"Do Not Sell My Info Request\n\nTo opt out of having your business profile available for sale on LimeLeads, please submit a Do Not Sell My Info Request or email privacy@limeleads.com.",Description of Right to Opt-out of sale of PI
2996,DB_18,Right to Access and Correct\n\nYou have the right to request access and receive a copy of your personal data and processing activities related to your LimeLead profile(s) for no charge.,Description of Right to Know PI Collected
2999,DB_18,You have the right to request that LimeLeads restrict its processing of your personal information.,Description of Right to Limit use of PI
3000,DB_18,Please submit a Data Access Request or email privacy@limeleads.com.,Methods to exercise rights
3030,DB_19,Data from Audience Partners: We may collect additional information about you from our audience partners who create and provide us with segments which we use for our Customers (“Audience Partner”).,Categories of Personal Information Collected
3097,DB_19,Right to Limit Collection of Sensitive Personal Information,Description of Right to Limit use of PI
3099,DB_19,Right to Opt out of the Sale or Sharing of Your Personal Information,Description of Right to Opt-out of sale of PI
3218,DB_19,"To learn more about how we collect and use that data, please see our Website Privacy Notice.",Description of Right to Know PI Collected
3223,DB_19,"When access to this data involves access to Gmail Data, it will be subject to these additional restrictions:",Description of Right to Know PI Collected
3225,DB_19,We will not use this Gmail Data for serving advertisements; and,Description of Right to Know PI Collected
3227,DB_19,"This contact data is B2B information – in other words, it is typically a business email address, business street address and a business telephone number",Description of Right to Know PI Collected
3232,DB_19,"Segmenting Audiences: To segment you into groups (like bargain hunters, high intent visitors, low intent visitors) for certain purposes such as reporting and analytics as well as determining what ads and email content would best peak your interest.",Description of Right to Know PI Collected
3236,DB_19,"If we know you’ve already seen one of our Customer’s ads several times, we’ll try to show you a different ad next time.",Description of Right to Know PI Collected
3237,DB_19,"Sequencing: If you are being served a sequence of ads, to make sure we show you the right ad next in the sequence.",Description of Right to Know PI Collected
3240,DB_19,"To learn more about how we use cross-device matching, visit our blog.",Description of Right to Know PI Collected
3243,DB_19,Identifying Companies Associated with an IP Range for B2B marketing: We match IP address ranges to companies who disclose their IP address ranges in order to provide aggregated reports to companies regarding their website traffic.,Description of Right to Know PI Collected
3250,DB_19,Please see our Website Privacy Notice to learn more about how we use that data.,Description of Right to Know PI Collected
3257,DB_19,"You can refuse consent to, or opt-out of, NextRoll cookies at any time, as explained in Your Choices and Opting-out of Interest-Based Advertising and Analytics below",Methods to exercise rights
3271,DB_19,Web browser: You can opt-out of receiving interest-based ads served by us or on our behalf by clicking on the blue icon that typically appears in the corner of the ads we serve and following the instructions provided or by clicking on our opt-out page,Methods to exercise rights
3280,DB_19,Web browser: You can opt-out of receiving interest-based ads served by us or on our behalf by clicking on the blue icon that typically appears in the corner of the ads we serve and following the instructions provided or by clicking on our opt-out page.,Description of Right to Opt-out of sale of PI
3285,DB_19,"Since we only link users across browsers and devices in certain conditions, there may be cases where you are still being tracked in a different browser or device we have not linked, and where we are treating you as a different user.",Description of Right to Opt-out of sale of PI
3308,DB_19,"Personal Data Associated with Advertising Bidding Requests: Data logged in order to process an advertising bid request we have received from an Advertising Partner (such as a cookie identifier, IP address, the domain url requesting to display the ad, and browser information) are deleted after 7 days.",Description of Right to Know PI sold / shared
3309,DB_19,"Data we have logged regarding bids we have placed to display an advertisement (including cookie identifiers, mobile identifiers, the advertisement bid on and the advertisement won or displayed to the visitor) are deleted after 15 days.",Description of Right to Know PI sold / shared
3331,DB_19,"This section supplements the information contained in this Service Privacy Notice and applies solely to visitors, users and others who are residents of the State of California, as defined in Section 17014 of Title 18 of the California Code of Regulations.",Description of Right to Know PI Collected
3348,DB_19,Auditing Interactions with Consumers: to count ad impressions and verify the quality of ad impressions served to unique visitors identified by cookie id or other unique identifier;,Description of Right to Know PI Collected
3386,DB_19,"On the verification form, the requestor must:",Methods to exercise rights
3407,DB_19,Suggest that you may receive a different price or rate for goods or services or a different level or quality of goods or services; or,Description of Right to Non-discrimination on exercising rights
3666,DB_19,"Sales of Personal Information\nIn the preceding (12) twelve months, we have sold the following categories of personal information:\n\nCategory A (Identifiers).",Categories of Personal Information Sold
3683,DB_20,We will post any changes to this Privacy Policy on our Sites.,Updated Privacy Policy
3873,DB_20,How We Disclose Site Visitor Information,Categories of Personal Information Shared / Disclosed
3907,DB_20,"Therefore, we offer the following options for controlling the interest-based content and ads you receive.\n\nIf you do not want to receive interest-based ads from Taboola, you can disable the display of such ads by clicking on the opt-out link below.",Description of Right to Opt-out of sale of PI
